id,visit,count_exonic,count_intronic,count_intergenic,count_overlapping exon,percent_exonic,percent_intronic,percent_intergenic,percent_overlapping exon
27990795,visit2,19970182,29074378,2731269,1918246,38.57,56.15,5.28,3.7
28883128,visit1,24765537,29688990,2120844,2146343,43.77,52.48,3.75,3.79
28883128,visit2,18034680,22861229,1908640,1579870,42.13,53.41,4.46,3.69
29071776,visit1,20755851,32730204,2787427,2164573,36.88,58.16,4.95,3.85
29071776,visit2,16665054,23907183,2117679,1743708,39.04,56,4.96,4.08
29549384,visit1,18853202,26780120,2091363,1734055,39.5,56.11,4.38,3.63
29549384,visit2,14066110,34104825,10306749,1630499,24.05,58.32,17.63,2.79
29619848,visit1,20101355,29821779,2734687,1939263,38.17,56.63,5.19,3.68
29619848,visit2,20341171,28742007,2360356,1943392,39.54,55.87,4.59,3.78
29624095,visit1,15897827,21708965,1894226,1526844,40.25,54.96,4.8,3.87
29624095,visit2,18955414,29998624,2601471,1786019,36.77,58.19,5.05,3.46
30075692,visit1,18025753,25373737,2220849,1947713,39.51,55.62,4.87,4.27
30075692,visit2,9161009,12333770,1121698,892315,40.51,54.53,4.96,3.95
30465224,visit1,18058440,26436417,2361534,1681596,38.54,56.42,5.04,3.59
30465224,visit2,19271650,26160443,2090852,1806277,40.55,55.05,4.4,3.8
30761746,visit1,18373759,30483024,2276295,2026129,35.93,59.62,4.45,3.96
30761746,visit2,16974220,26600774,2585780,1749176,36.77,57.63,5.6,3.79
31094295,visit1,24061432,35619061,2992521,2378853,38.39,56.83,4.77,3.8
31094295,visit2,18731244,25065482,2047889,1716355,40.86,54.67,4.47,3.74
31202872,visit1,17786177,29832040,2661902,1973163,35.37,59.33,5.29,3.92
31202872,visit2,13821196,18733319,1646433,1307376,40.41,54.77,4.81,3.82
32214017,visit1,18294818,26824046,2068924,1834996,38.77,56.85,4.38,3.89
32214017,visit2,18586242,22625718,1933217,1591939,43.08,52.44,4.48,3.69
32408262,visit1,30863211,37955503,3384946,2697926,42.74,52.57,4.69,3.74
32408262,visit2,21890326,31269448,2720008,2172653,39.17,55.96,4.87,3.89
32855133,visit1,17433501,29334893,2420872,1765038,35.44,59.64,4.92,3.59
32855133,visit2,17411069,21837748,1883270,1571959,42.33,53.09,4.58,3.82
32903827,visit1,21257330,30306870,2388469,2059177,39.4,56.17,4.43,3.82
32903827,visit2,21062370,30246323,2306263,1965999,39.28,56.41,4.3,3.67
33019457,visit1,18770671,26640421,2176965,1820731,39.44,55.98,4.57,3.83
33019457,visit2,13309358,22856963,1774929,1402285,35.08,60.24,4.68,3.7
33259185,visit1,19135203,30264697,2604570,1969759,36.8,58.2,5.01,3.79
33259185,visit2,18711082,27665944,2466748,1848603,38.31,56.64,5.05,3.78
33542193,visit1,9630152,25882223,12226848,973868,20.17,54.22,25.61,2.04
33542193,visit2,34872920,39197785,3234728,2918542,45.11,50.71,4.18,3.78
34091017,visit1,16110161,25931047,2426264,1667646,36.23,58.31,5.46,3.75
34091017,visit2,21216672,35602446,3548145,2207180,35.15,58.98,5.88,3.66
35219088,visit1,19242711,29720654,2677784,1923294,37.26,57.55,5.19,3.72
35219088,visit2,25646409,34524320,2929268,2434539,40.64,54.71,4.64,3.86
35446483,visit1,17170473,27022355,3067495,1704605,36.33,57.18,6.49,3.61
35446483,visit2,24256504,36847000,3444079,2382883,37.58,57.09,5.34,3.69
35572099,visit1,19961627,18261933,1641771,1526712,50.07,45.81,4.12,3.83
35572099,visit2,21469147,25960788,2047621,1849023,43.39,52.47,4.14,3.74
35629286,visit1,20039286,26566826,2180224,1825412,41.08,54.46,4.47,3.74
35629286,visit2,18482487,26894213,2280809,1791123,38.78,56.43,4.79,3.76
35686203,visit1,17685155,20211952,1796904,1418850,44.55,50.92,4.53,3.57
35686203,visit2,20237637,28774120,2609258,1884503,39.2,55.74,5.05,3.65
36250371,visit1,23919121,33530757,2612488,2243490,39.82,55.83,4.35,3.74
36250371,visit2,20414357,30138387,2618427,1997038,38.39,56.68,4.92,3.76
36389154,visit1,16518195,26194107,2469653,1665596,36.56,57.97,5.47,3.69
36747806,visit1,15745361,25402043,2060759,1646410,36.44,58.79,4.77,3.81
36747806,visit2,20286076,22577861,1797188,1634673,45.42,50.55,4.02,3.66
36889772,visit1,20583917,30354391,2422592,2055659,38.57,56.89,4.54,3.85
36889772,visit2,17561705,22060225,1791289,1555885,42.41,53.27,4.33,3.76
36900777,visit1,28588566,40450423,3332530,2862968,39.5,55.89,4.6,3.96
36900777,visit2,21185616,29337630,2380315,2122610,40.05,55.45,4.5,4.01
37255206,visit1,21441765,19323412,1731888,1746407,50.45,45.47,4.08,4.11
37255206,visit2,25518611,31291702,2654725,2150672,42.91,52.62,4.46,3.62
37459864,visit1,23158001,34648549,2946698,2285714,38.12,57.03,4.85,3.76
37459864,visit2,14106946,20279600,1626949,1406996,39.17,56.31,4.52,3.91
